Label,Pairwise Deletion Sample Size for Observed Data,r Correlation,95% CI Lower Bound for r Correlation,95% CI Upper Bound for r Correlation,95% CI Width for r Correlation,d Correlation,d Correlation Minus |r| Correlation
Angling Risk Task Keep Adjusted Clicks with K6 Restless/Fidgety,522,-.0414,-.1286,.0458,.1744,.0748,.0335
Angling Risk Task Keep Adjusted Clicks with K6 Depressed,522,-.0023,-.0878,.0835,.1713,.0527,.0505
Angling Risk Task Keep Adjusted Clicks with K6 Everything an Effort,522,.0128,-.0748,.0993,.1741,.0677,.0548
Angling Risk Task Keep Adjusted Clicks with K6 Worthless,522,.0389,-.0410,.1196,.1606,.0534,.0145
Angling Risk Task Keep Adjusted Clicks with Cigarettes Per Day,522,.0369,-.0440,.1180,.1621,.0515,.0147
Angling Risk Task Keep Adjusted Clicks with How Many Drinks When Drinking,522,-.0048,-.0886,.0780,.1667,.0485,.0437
Angling Risk Task Keep Adjusted Clicks with How Often 6+ Drinks,522,-.0117,-.0912,.0693,.1605,.0505,.0388
Angling Risk Task Keep Adjusted Clicks with How Often Unable to Stop Drinking,522,.0362,-.0500,.1223,.1722,.0461,.0099
Angling Risk Task Keep Loss Percent with Angling Risk Task Keep Score,522,.3935,.3054,.4748,.1694,.4156,.0220
Angling Risk Task Keep Loss Percent with Angling Risk Task Release Adjusted Clicks,522,.5728,.4952,.6410,.1458,.5477,-.0251
Angling Risk Task Keep Loss Percent with Angling Risk Task Release Loss Percent,522,.5608,.4932,.6245,.1313,.5246,-.0362
Angling Risk Task Keep Loss Percent with Angling Risk Task Release Score,522,.4670,.3927,.5353,.1426,.4361,-.0309
Angling Risk Task Keep Loss Percent with Attention Network Task Alerting HDDM Drift,198,-.1018,-.2205,.0219,.2423,.1432,.0414
Angling Risk Task Keep Loss Percent with Attention Network Task Conflict HDDM Drift,198,.0827,-.0698,.2034,.2732,.1303,.0476
Angling Risk Task Keep Loss Percent with Attention Network Task HDDM Drift,198,-.0058,-.1328,.1177,.2506,.1269,.1211
Angling Risk Task Keep Loss Percent with Attention Network Task HDDM Non-Decision,198,-.0375,-.1687,.0908,.2595,.1441,.1065
Angling Risk Task Keep Loss Percent with Attention Network Task HDDM Threshold,198,-.0330,-.1608,.0992,.2600,.0957,.0627
Angling Risk Task Keep Loss Percent with Attention Network Task Orienting HDDM Drift,198,.0277,-.1267,.1791,.3058,.1066,.0789
Angling Risk Task Keep Loss Percent with Bickel Titrator Discount Rate Large,522,-.0763,-.1704,.0169,.1874,.0833,.0070
Angling Risk Task Keep Loss Percent with Bickel Titrator Discount Rate Medium,522,-.1519,-.2169,-.0856,.1313,.1623,.0104
Angling Risk Task Keep Loss Percent with Bickel Titrator Discount Rate Small,522,-.1009,-.1892,-.0045,.1847,.1225,.0217
Angling Risk Task Keep Loss Percent with Choice Reaction Time HDDM Drift,518,.0443,-.0390,.1269,.1659,.0769,.0325
Angling Risk Task Keep Loss Percent with Choice Reaction Time HDDM Non-Decision,518,-.0676,-.1572,.0233,.1806,.0746,.0070
Angling Risk Task Keep Loss Percent with Choice Reaction Time HDDM Threshold,518,-.0174,-.1028,.0678,.1705,.0715,.0541
Angling Risk Task Keep Loss Percent with Cognitive Reflection Task Correct Proportion,522,.2081,.1229,.2932,.1703,.2091,.0010
Angling Risk Task Keep Loss Percent with Cognitive Reflection Task Intuitive Proportion,522,-.1675,-.2501,-.0847,.1654,.1764,.0090
Angling Risk Task Keep Loss Percent with Columbia Card Task Cold Average Cards Chosen,522,.0351,-.0510,.1209,.1719,.0921,.0570
Angling Risk Task Keep Loss Percent with Columbia Card Task Cold Gain Sensitivity,522,.0502,-.0397,.1375,.1772,.1035,.0533
Angling Risk Task Keep Loss Percent with Columbia Card Task Cold Information Use,522,.1745,.0895,.2596,.1701,.1651,-.0094
Angling Risk Task Keep Loss Percent with Columbia Card Task Cold Loss Sensitivity,522,-.1154,-.1901,-.0400,.1501,.1376,.0222
Angling Risk Task Keep Loss Percent with Columbia Card Task Cold Probability Sensitivity,522,-.0874,-.1726,.0003,.1730,.1253,.0379
Angling Risk Task Keep Loss Percent with Columbia Card Task Hot Average Cards Chosen,521,.1264,.0414,.2102,.1688,.1704,.0441
Angling Risk Task Keep Loss Percent with Columbia Card Task Hot Gain Sensitivity,521,.0536,-.0345,.1429,.1774,.1135,.0599
Angling Risk Task Keep Loss Percent with Columbia Card Task Hot Information Use,521,.1681,.0836,.2486,.1650,.1506,-.0175
Angling Risk Task Keep Loss Percent with Columbia Card Task Hot Loss Sensitivity,521,-.1097,-.2023,-.0108,.1915,.1193,.0096
Angling Risk Task Keep Loss Percent with Columbia Card Task Hot Probability Sensitivity,521,-.1578,-.2376,-.0786,.1589,.1824,.0246
Angling Risk Task Keep Loss Percent with Dietary Decision Task Health Sensitivity,522,-.0256,-.1224,.0698,.1922,.0775,.0519
Angling Risk Task Keep Loss Percent with Dietary Decision Task Taste Sensitivity,522,.0122,-.0704,.0981,.1685,.0591,.0469
Angling Risk Task Keep Loss Percent with Digit Span Forward Span,522,.0768,-.0099,.1632,.1731,.1197,.0429
Angling Risk Task Keep Loss Percent with Digit Span Reverse Span,522,.0586,-.0267,.1446,.1713,.0963,.0377
Angling Risk Task Keep Loss Percent with Directed Forgetting HDDM Drift,495,.0116,-.0749,.0978,.1727,.0592,.0476
Angling Risk Task Keep Loss Percent with Directed Forgetting HDDM Non-Decision,495,-.0891,-.1754,-.0059,.1695,.1199,.0309
Angling Risk Task Keep Loss Percent with Directed Forgetting HDDM Threshold,495,.0063,-.0827,.0966,.1793,.0674,.0612
Angling Risk Task Keep Loss Percent with Directed Forgetting Proactive Interference HDDM Drift,490,.0164,-.0650,.0967,.1616,.0744,.0580
Angling Risk Task Keep Loss Percent with Discount Titrator Percent Patient,522,.1349,.0483,.2230,.1747,.1296,-.0054
Angling Risk Task Keep Loss Percent with Dot Pattern Expectancy AY.BY HDDM Drift,501,-.0401,-.1203,.0386,.1589,.0765,.0364
Angling Risk Task Keep Loss Percent with Dot Pattern Expectancy BX.BY HDDM Drift,501,.0158,-.0753,.1045,.1798,.0641,.0483
Angling Risk Task Keep Loss Percent with Dot Pattern Expectancy Bias,498,-.0765,-.1600,.0076,.1676,.0966,.0202
Angling Risk Task Keep Loss Percent with Dot Pattern Expectancy d',498,-.0073,-.0944,.0799,.1743,.0666,.0593
Angling Risk Task Keep Loss Percent with Dot Pattern Expectancy HDDM Drift,504,.0291,-.0627,.1215,.1842,.0695,.0404
Angling Risk Task Keep Loss Percent with Dot Pattern Expectancy HDDM Non-Decision,504,-.0607,-.1490,.0304,.1793,.0782,.0175
Angling Risk Task Keep Loss Percent with Dot Pattern Expectancy HDDM Threshold,504,-.0248,-.1080,.0595,.1675,.0664,.0415
Angling Risk Task Keep Loss Percent with Go-No Go Bias,521,-.0780,-.1552,.0000,.1552,.0965,.0185
Angling Risk Task Keep Loss Percent with Go-No Go d',521,-.0541,-.1394,.0320,.1714,.0767,.0226
Angling Risk Task Keep Loss Percent with Hierarchical Learning Task Score,515,.1549,.0673,.2415,.1742,.1381,-.0168
Angling Risk Task Keep Loss Percent with Holt & Laury Safe Choices,522,-.1232,-.2115,-.0346,.1769,.1467,.0235
Angling Risk Task Keep Loss Percent with Information Sampling Task Decreasing Win Probability Correct,514,.0154,-.0707,.1052,.1758,.0577,.0423
Angling Risk Task Keep Loss Percent with Information Sampling Task Decreasing Win Motivation,503,-.0696,-.1513,.0130,.1643,.0862,.0166
Angling Risk Task Keep Loss Percent with Information Sampling Task Fixed Win Probability Correct,514,.1588,.0756,.2432,.1677,.1800,.0212
Angling Risk Task Keep Loss Percent with Information Sampling Task Fixed Win Motivation,510,.0266,-.0557,.1104,.1661,.0808,.0542
Angling Risk Task Keep Loss Percent with Keep Track Task Score,514,.1118,.0252,.1960,.1708,.1366,.0247
Angling Risk Task Keep Loss Percent with Kirby Discount Rate Large,522,-.0859,-.1768,.0054,.1822,.1069,.0209
Angling Risk Task Keep Loss Percent with Kirby Discount Rate Medium,522,-.1071,-.1924,-.0206,.1718,.1203,.0132
Angling Risk Task Keep Loss Percent with Kirby Discount Rate Small,522,-.0686,-.1608,.0240,.1848,.0934,.0248
Angling Risk Task Keep Loss Percent with Local-Global Letter Task HDDM Drift of Conflict,194,-.0726,-.1872,.0408,.2280,.1281,.0555
Angling Risk Task Keep Loss Percent with Local-Global Letter Task HDDM Drift,194,.0628,-.0675,.1918,.2593,.1072,.0444
Angling Risk Task Keep Loss Percent with Local-Global Letter Task HDDM Non-Decision,194,.0233,-.1005,.1456,.2461,.1175,.0943
Angling Risk Task Keep Loss Percent with Local-Global Letter Task HDDM Threshold,194,.0025,-.1121,.1148,.2269,.1133,.1109
Angling Risk Task Keep Loss Percent with Local-Global Letter Task HDDM Drift of Switch Cost,194,.0489,-.1058,.2010,.3067,.1131,.0642
Angling Risk Task Keep Loss Percent with Motor Selective Stop Signal Reaction Time,361,.0304,-.0708,.1329,.2037,.0812,.0508
Angling Risk Task Keep Loss Percent with Motor Selective Stop Signal HDDM Drift,361,.0607,-.0405,.1549,.1954,.0930,.0323
Angling Risk Task Keep Loss Percent with Motor Selective Stop Signal HDDM Non-Decision,361,-.0178,-.1076,.0704,.1780,.0832,.0654
Angling Risk Task Keep Loss Percent with Motor Selective Stop Signal HDDM Threshold,361,.0093,-.0912,.1089,.2001,.0831,.0738
Angling Risk Task Keep Loss Percent with Motor Selective Stop Signal Reactive Control,361,-.0029,-.1003,.0944,.1948,.0671,.0642
Angling Risk Task Keep Loss Percent with Motor Selective Stop Signal Proactive Control,361,-.0402,-.1517,.0723,.2241,.0970,.0568
Angling Risk Task Keep Loss Percent with Probabilistic Selection Task Positive Learning Bias,369,.0377,-.0731,.1486,.2216,.1281,.0904
Angling Risk Task Keep Loss Percent with Probabilistic Selection Task Value Sensitivity,369,.0247,-.0901,.1381,.2282,.1028,.0781
Angling Risk Task Keep Loss Percent with Psychological Refractory Period Slope,515,-.0644,-.1486,.0201,.1688,.0907,.0263
Angling Risk Task Keep Loss Percent with Raven Progressive Matrices,522,.2180,.1287,.3039,.1752,.2125,-.0055
Angling Risk Task Keep Loss Percent with Shift Task Accuracy,512,.0783,-.0109,.1679,.1788,.0872,.0089
Angling Risk Task Keep Loss Percent with Shift Task Learning Rate,512,.0665,-.0172,.1510,.1682,.1026,.0361
Angling Risk Task Keep Loss Percent with Simon Task HDDM Drift,519,.0337,-.0581,.1264,.1844,.0913,.0577
Angling Risk Task Keep Loss Percent with Simon Task HDDM Non-Decision,519,-.0741,-.1644,.0186,.1830,.1127,.0386
Angling Risk Task Keep Loss Percent with Simon Task HDDM Threshold,519,-.1005,-.1814,-.0185,.1629,.1148,.0143
Angling Risk Task Keep Loss Percent with Simon Task HDDM Drift of Simon Effect,519,-.0152,-.1045,.0755,.1800,.0655,.0503
Angling Risk Task Keep Loss Percent with Simple Reaction Time Average Reaction Time,517,-.1262,-.2079,-.0383,.1696,.1095,-.0167
Angling Risk Task Keep Loss Percent with Spatial Span Forward Span,522,.1688,.0843,.2510,.1668,.1712,.0024
Angling Risk Task Keep Loss Percent with Spatial Span Reverse Span,522,.1046,.0193,.1883,.1690,.1296,.0250
Angling Risk Task Keep Loss Percent with Stimulus Selective Stop Signal Reaction Time,458,-.0104,-.0914,.0722,.1636,.0815,.0711
Angling Risk Task Keep Loss Percent with Stimulus Selective Stop Signal HDDM Drift,458,.0771,-.0094,.1640,.1734,.0996,.0225
Angling Risk Task Keep Loss Percent with Stimulus Selective Stop Signal HDDM Non-Decision,458,-.0707,-.1566,.0163,.1729,.0848,.0141
Angling Risk Task Keep Loss Percent with Stimulus Selective Stop Signal HDDM Threshold,458,-.0163,-.1068,.0753,.1820,.0711,.0548
Angling Risk Task Keep Loss Percent with Stop Signal Reaction Time High,478,-.0159,-.0939,.0640,.1578,.0612,.0454
Angling Risk Task Keep Loss Percent with Stop Signal Reaction Time Low,478,-.0727,-.1558,.0114,.1672,.0795,.0068
Angling Risk Task Keep Loss Percent with Stop Signal HDDM Drift,478,.0118,-.0771,.1030,.1801,.0675,.0557
Angling Risk Task Keep Loss Percent with Stop Signal HDDM Non-Decision,478,-.0826,-.1811,.0154,.1964,.1056,.0229
Angling Risk Task Keep Loss Percent with Stop Signal HDDM Threshold,478,-.0006,-.0927,.0965,.1892,.0598,.0592
Angling Risk Task Keep Loss Percent with Stop Signal Proactive Reaction Time Speeding,478,-.0678,-.1609,.0242,.1851,.0954,.0276
Angling Risk Task Keep Loss Percent with Stop Signal Proactive Reaction Time Slowing,478,-.0303,-.1139,.0558,.1697,.0718,.0414
Angling Risk Task Keep Loss Percent with Stroop HDDM Drift,521,-.0087,-.0903,.0739,.1642,.0599,.0512
Angling Risk Task Keep Loss Percent with Stroop HDDM Non-Decision,521,-.1401,-.2214,-.0554,.1661,.1203,-.0198
Angling Risk Task Keep Loss Percent with Stroop HDDM Threshold,521,-.0833,-.1663,.0014,.1677,.0971,.0138
Angling Risk Task Keep Loss Percent with Stroop HDDM Drift of Stroop Effect,521,.0043,-.0859,.0935,.1794,.0674,.0632
Angling Risk Task Keep Loss Percent with Tower of London Average Move Time,521,-.1215,-.1974,-.0418,.1556,.1319,.0104
Angling Risk Task Keep Loss Percent with Tower of London Number of Extra Moves,522,.0493,-.0429,.1390,.1819,.0647,.0153
Angling Risk Task Keep Loss Percent with Tower of London Number of Optimal Solutions,522,.1482,.0613,.2330,.1717,.1630,.0148
Angling Risk Task Keep Loss Percent with Tower of London Planning Time,522,-.0346,-.1212,.0525,.1737,.0597,.0251
Angling Risk Task Keep Loss Percent with Two-Stage Decision Model-Based,435,.1544,.0623,.2489,.1866,.1508,-.0036
Angling Risk Task Keep Loss Percent with Two-Stage Decision Model-Free,435,.0223,-.0729,.1157,.1885,.0853,.0631
Angling Risk Task Keep Loss Percent with Two-Stage Decision Perseverance,435,.0927,-.0012,.1885,.1897,.0967,.0040
Angling Risk Task Keep Loss Percent with Writing Task Neutral Probability,522,.0014,-.0845,.0880,.1726,.0635,.0621
Angling Risk Task Keep Loss Percent with Writing Task Positive Probability,522,.0086,-.0754,.0926,.1680,.0820,.0734
Angling Risk Task Keep Loss Percent with Body Mass Index,518,-.0383,-.1272,.0529,.1802,.0783,.0400
Angling Risk Task Keep Loss Percent with K6 Nervous,522,-.0147,-.0972,.0701,.1674,.0514,.0368
Angling Risk Task Keep Loss Percent with K6 Hopeless,522,.0324,-.0476,.1134,.1610,.0747,.0424
Angling Risk Task Keep Loss Percent with K6 Restless/Fidgety,522,-.0110,-.0923,.0723,.1646,.0813,.0703
Angling Risk Task Keep Loss Percent with K6 Depressed,522,.0069,-.0729,.0874,.1602,.0782,.0713
Angling Risk Task Keep Loss Percent with K6 Everything an Effort,522,.0191,-.0611,.1002,.1613,.0646,.0454
Angling Risk Task Keep Loss Percent with K6 Worthless,522,.0507,-.0259,.1284,.1543,.0874,.0367
Angling Risk Task Keep Loss Percent with Cigarettes Per Day,522,.0223,-.0578,.1049,.1626,.0424,.0202
Angling Risk Task Keep Loss Percent with How Many Drinks When Drinking,522,.0125,-.0598,.0854,.1452,.0818,.0693
Angling Risk Task Keep Loss Percent with How Often 6+ Drinks,522,.0358,-.0387,.1127,.1514,.0824,.0466
Angling Risk Task Keep Loss Percent with How Often Unable to Stop Drinking,522,.0315,-.0528,.1185,.1713,.0660,.0344
Angling Risk Task Keep Score with Angling Risk Task Release Adjusted Clicks,522,.5177,.4432,.5881,.1449,.5182,.0005
Angling Risk Task Keep Score with Angling Risk Task Release Loss Percent,522,.5113,.4350,.5800,.1449,.4706,-.0407
Angling Risk Task Keep Score with Angling Risk Task Release Score,522,.4795,.3961,.5564,.1602,.4512,-.0283
Angling Risk Task Keep Score with Attention Network Task Alerting HDDM Drift,198,-.0647,-.1916,.0648,.2563,.1142,.0495
Angling Risk Task Keep Score with Attention Network Task Conflict HDDM Drift,198,-.1216,-.2709,.0065,.2774,.2436,.1219
Angling Risk Task Keep Score with Attention Network Task HDDM Drift,198,-.0273,-.1591,.1024,.2615,.1055,.0782
Angling Risk Task Keep Score with Attention Network Task HDDM Non-Decision,198,-.0725,-.1761,.0393,.2153,.1450,.0724
Angling Risk Task Keep Score with Attention Network Task HDDM Threshold,198,-.0681,-.1977,.0554,.2530,.1563,.0882
Angling Risk Task Keep Score with Attention Network Task Orienting HDDM Drift,198,-.0208,-.1775,.1369,.3144,.1232,.1024
Angling Risk Task Keep Score with Bickel Titrator Discount Rate Large,522,-.0377,-.1795,.0861,.2657,.0712,.0335
Angling Risk Task Keep Score with Bickel Titrator Discount Rate Medium,522,-.1127,-.2205,-.0143,.2061,.1099,-.0028
Angling Risk Task Keep Score with Bickel Titrator Discount Rate Small,522,-.0804,-.1975,.0311,.2286,.0849,.0045
Angling Risk Task Keep Score with Choice Reaction Time HDDM Drift,518,.0305,-.0634,.1219,.1853,.0782,.0477
Angling Risk Task Keep Score with Choice Reaction Time HDDM Non-Decision,518,-.0547,-.1336,.0285,.1621,.0706,.0159
Angling Risk Task Keep Score with Choice Reaction Time HDDM Threshold,518,-.0051,-.1036,.0859,.1895,.0722,.0671
Angling Risk Task Keep Score with Cognitive Reflection Task Correct Proportion,522,.1396,.0549,.2214,.1665,.1344,-.0053
Angling Risk Task Keep Score with Cognitive Reflection Task Intuitive Proportion,522,-.1013,-.1815,-.0200,.1616,.1176,.0164
Angling Risk Task Keep Score with Columbia Card Task Cold Average Cards Chosen,522,.1043,.0136,.1942,.1806,.1469,.0426
Angling Risk Task Keep Score with Columbia Card Task Cold Gain Sensitivity,522,.0414,-.0531,.1310,.1840,.0911,.0496
Angling Risk Task Keep Score with Columbia Card Task Cold Information Use,522,.1855,.1000,.2669,.1668,.1741,-.0114
Angling Risk Task Keep Score with Columbia Card Task Cold Loss Sensitivity,522,-.0831,-.1625,-.0025,.1601,.1185,.0354
Angling Risk Task Keep Score with Columbia Card Task Cold Probability Sensitivity,522,-.1203,-.2139,-.0244,.1895,.1415,.0212
Angling Risk Task Keep Score with Columbia Card Task Hot Average Cards Chosen,521,.1374,.0512,.2231,.1719,.1762,.0388
Angling Risk Task Keep Score with Columbia Card Task Hot Gain Sensitivity,521,.0516,-.0484,.1473,.1957,.1377,.0862
Angling Risk Task Keep Score with Columbia Card Task Hot Information Use,521,.1531,.0713,.2317,.1603,.1559,.0027
Angling Risk Task Keep Score with Columbia Card Task Hot Loss Sensitivity,521,-.0874,-.1757,.0114,.1871,.1278,.0403
Angling Risk Task Keep Score with Columbia Card Task Hot Probability Sensitivity,521,-.2232,-.3036,-.1387,.1649,.2235,.0004
Angling Risk Task Keep Score with Dietary Decision Task Health Sensitivity,522,-.0216,-.1097,.0641,.1737,.0832,.0616
Angling Risk Task Keep Score with Dietary Decision Task Taste Sensitivity,522,.0257,-.0625,.1152,.1777,.0843,.0586
Angling Risk Task Keep Score with Digit Span Forward Span,522,.0494,-.0421,.1365,.1786,.0725,.0231
Angling Risk Task Keep Score with Digit Span Reverse Span,522,.0324,-.0633,.1270,.1903,.0633,.0309
Angling Risk Task Keep Score with Directed Forgetting HDDM Drift,495,.0479,-.0378,.1336,.1714,.0894,.0414
Angling Risk Task Keep Score with Directed Forgetting HDDM Non-Decision,495,-.1111,-.2064,-.0145,.1919,.1312,.0202
Angling Risk Task Keep Score with Directed Forgetting HDDM Threshold,495,.0679,-.0199,.1537,.1736,.0814,.0134
Angling Risk Task Keep Score with Directed Forgetting Proactive Interference HDDM Drift,490,.0998,.0198,.1784,.1586,.0961,-.0037
Angling Risk Task Keep Score with Discount Titrator Percent Patient,522,.0476,-.0368,.1312,.1679,.0738,.0262
Angling Risk Task Keep Score with Dot Pattern Expectancy AY.BY HDDM Drift,501,.0135,-.0722,.0985,.1707,.0709,.0574
Angling Risk Task Keep Score with Dot Pattern Expectancy BX.BY HDDM Drift,501,.0305,-.0437,.1070,.1507,.1048,.0743
Angling Risk Task Keep Score with Dot Pattern Expectancy Bias,498,-.0467,-.1306,.0365,.1671,.0865,.0398
Angling Risk Task Keep Score with Dot Pattern Expectancy d',498,-.0321,-.1201,.0556,.1757,.0773,.0452
Angling Risk Task Keep Score with Dot Pattern Expectancy HDDM Drift,504,.0028,-.0896,.0941,.1837,.0635,.0607
Angling Risk Task Keep Score with Dot Pattern Expectancy HDDM Non-Decision,504,-.0252,-.1118,.0614,.1732,.0610,.0358
Angling Risk Task Keep Score with Dot Pattern Expectancy HDDM Threshold,504,.0050,-.0787,.0855,.1642,.0641,.0591
Angling Risk Task Keep Score with Go-No Go Bias,521,-.0234,-.1039,.0559,.1598,.0644,.0410
Angling Risk Task Keep Score with Go-No Go d',521,-.0182,-.1072,.0716,.1789,.0676,.0494
Angling Risk Task Keep Score with Hierarchical Learning Task Score,515,.1040,.0158,.1913,.1754,.1173,.0133
Angling Risk Task Keep Score with Holt & Laury Safe Choices,522,-.0796,-.1704,.0094,.1797,.1148,.0352
Angling Risk Task Keep Score with Information Sampling Task Decreasing Win Probability Correct,514,.0213,-.0687,.1091,.1778,.0649,.0436
Angling Risk Task Keep Score with Information Sampling Task Decreasing Win Motivation,503,.0478,-.0409,.1366,.1774,.0883,.0405
Angling Risk Task Keep Score with Information Sampling Task Fixed Win Probability Correct,514,.0871,-.0009,.1743,.1752,.1012,.0141
Angling Risk Task Keep Score with Information Sampling Task Fixed Win Motivation,510,.0554,-.0286,.1390,.1676,.0903,.0349
Angling Risk Task Keep Score with Keep Track Task Score,514,.0952,-.0100,.1949,.2050,.1129,.0177
Angling Risk Task Keep Score with Kirby Discount Rate Large,522,-.0652,-.1480,.0172,.1653,.0740,.0088
Angling Risk Task Keep Score with Kirby Discount Rate Medium,522,-.0601,-.1399,.0167,.1566,.0793,.0193
Angling Risk Task Keep Score with Kirby Discount Rate Small,522,-.0432,-.1243,.0362,.1605,.0962,.0530
Angling Risk Task Keep Score with Local-Global Letter Task HDDM Drift of Conflict,194,-.0064,-.1285,.1202,.2487,.1013,.0949
Angling Risk Task Keep Score with Local-Global Letter Task HDDM Drift,194,.0591,-.0912,.2047,.2959,.1328,.0737
Angling Risk Task Keep Score with Local-Global Letter Task HDDM Non-Decision,194,.0151,-.1359,.1564,.2923,.1076,.0925
Angling Risk Task Keep Score with Local-Global Letter Task HDDM Threshold,194,.0755,-.0555,.2025,.2580,.1102,.0348
Angling Risk Task Keep Score with Local-Global Letter Task HDDM Drift of Switch Cost,194,.0244,-.1242,.1725,.2966,.0873,.0629
Angling Risk Task Keep Score with Motor Selective Stop Signal Reaction Time,361,.0157,-.0905,.1189,.2094,.0680,.0523
Angling Risk Task Keep Score with Motor Selective Stop Signal HDDM Drift,361,.0002,-.1098,.1105,.2203,.0955,.0954
Angling Risk Task Keep Score with Motor Selective Stop Signal HDDM Non-Decision,361,-.0145,-.1231,.0954,.2185,.0873,.0728
Angling Risk Task Keep Score with Motor Selective Stop Signal HDDM Threshold,361,-.0274,-.1320,.0774,.2094,.0653,.0380
Angling Risk Task Keep Score with Motor Selective Stop Signal Reactive Control,361,.0055,-.0886,.1000,.1886,.0697,.0642
Angling Risk Task Keep Score with Motor Selective Stop Signal Proactive Control,361,-.0033,-.1273,.1199,.2471,.1172,.1139
Angling Risk Task Keep Score with Probabilistic Selection Task Positive Learning Bias,369,.1147,.0181,.2129,.1947,.1643,.0496
Angling Risk Task Keep Score with Probabilistic Selection Task Value Sensitivity,369,-.0744,-.1729,.0209,.1939,.1300,.0556
Angling Risk Task Keep Score with Psychological Refractory Period Slope,515,-.0392,-.1281,.0504,.1784,.0820,.0428
Angling Risk Task Keep Score with Raven Progressive Matrices,522,.1443,.0549,.2309,.1760,.1471,.0028
Angling Risk Task Keep Score with Shift Task Accuracy,512,.0461,-.0362,.1261,.1623,.0840,.0379
Angling Risk Task Keep Score with Shift Task Learning Rate,512,.0446,-.0399,.1286,.1684,.0753,.0307
Angling Risk Task Keep Score with Simon Task HDDM Drift,519,.0328,-.0537,.1178,.1716,.0754,.0427
Angling Risk Task Keep Score with Simon Task HDDM Non-Decision,519,-.0205,-.1097,.0710,.1807,.0663,.0458
Angling Risk Task Keep Score with Simon Task HDDM Threshold,519,-.0152,-.0963,.0645,.1608,.0714,.0563
Angling Risk Task Keep Score with Simon Task HDDM Drift of Simon Effect,519,-.0077,-.0934,.0802,.1736,.0584,.0507
Angling Risk Task Keep Score with Simple Reaction Time Average Reaction Time,517,-.0832,-.1826,.0203,.2029,.0802,-.0030
Angling Risk Task Keep Score with Spatial Span Forward Span,522,.1970,.1086,.2814,.1727,.2037,.0067
Angling Risk Task Keep Score with Spatial Span Reverse Span,522,.1612,.0681,.2519,.1838,.1643,.0030
Angling Risk Task Keep Score with Stimulus Selective Stop Signal Reaction Time,458,.0079,-.0912,.1059,.1970,.0611,.0532
Angling Risk Task Keep Score with Stimulus Selective Stop Signal HDDM Drift,458,.0041,-.0893,.0980,.1873,.0703,.0662
Angling Risk Task Keep Score with Stimulus Selective Stop Signal HDDM Non-Decision,458,.0166,-.0724,.1057,.1781,.0625,.0459
Angling Risk Task Keep Score with Stimulus Selective Stop Signal HDDM Threshold,458,-.0624,-.1548,.0317,.1865,.0935,.0312
Angling Risk Task Keep Score with Stop Signal Reaction Time High,478,.0134,-.0845,.1006,.1851,.0949,.0815
Angling Risk Task Keep Score with Stop Signal Reaction Time Low,478,-.0225,-.1191,.0721,.1912,.0837,.0612
Angling Risk Task Keep Score with Stop Signal HDDM Drift,478,-.0487,-.1458,.0477,.1936,.0819,.0332
Angling Risk Task Keep Score with Stop Signal HDDM Non-Decision,478,.0134,-.0776,.1056,.1832,.0724,.0590
Angling Risk Task Keep Score with Stop Signal HDDM Threshold,478,-.0668,-.1560,.0186,.1745,.1153,.0485
Angling Risk Task Keep Score with Stop Signal Proactive Reaction Time Speeding,478,-.0415,-.1324,.0549,.1873,.0793,.0377
Angling Risk Task Keep Score with Stop Signal Proactive Reaction Time Slowing,478,-.0338,-.1332,.0638,.1970,.0882,.0544
Angling Risk Task Keep Score with Stroop HDDM Drift,521,.0047,-.0879,.0977,.1856,.0979,.0932
Angling Risk Task Keep Score with Stroop HDDM Non-Decision,521,-.1042,-.2056,-.0019,.2037,.1257,.0215
Angling Risk Task Keep Score with Stroop HDDM Threshold,521,-.0349,-.1262,.0552,.1813,.0683,.0334
Angling Risk Task Keep Score with Stroop HDDM Drift of Stroop Effect,521,.0256,-.0606,.1124,.1731,.0757,.0501
Angling Risk Task Keep Score with Tower of London Average Move Time,521,-.1389,-.2225,-.0529,.1696,.1523,.0134
Angling Risk Task Keep Score with Tower of London Number of Extra Moves,522,.0205,-.0626,.1035,.1662,.0780,.0575
Angling Risk Task Keep Score with Tower of London Number of Optimal Solutions,522,.1222,.0303,.2181,.1879,.1434,.0212
Angling Risk Task Keep Score with Tower of London Planning Time,522,-.0262,-.1190,.0668,.1858,.0854,.0592
Angling Risk Task Keep Score with Two-Stage Decision Model-Based,435,.1125,.0202,.2012,.1810,.1230,.0105
Angling Risk Task Keep Score with Two-Stage Decision Model-Free,435,-.0317,-.1140,.0523,.1663,.0882,.0565
Angling Risk Task Keep Score with Two-Stage Decision Perseverance,435,-.0063,-.1000,.0854,.1854,.0621,.0558
Angling Risk Task Keep Score with Writing Task Neutral Probability,522,-.0246,-.1114,.0591,.1705,.0595,.0349
Angling Risk Task Keep Score with Writing Task Positive Probability,522,.0285,-.0542,.1084,.1625,.0736,.0451
Angling Risk Task Keep Score with Body Mass Index,518,-.0338,-.1145,.0507,.1652,.0673,.0336
Angling Risk Task Keep Score with K6 Nervous,522,-.0007,-.0858,.0840,.1698,.0492,.0485
Angling Risk Task Keep Score with K6 Hopeless,522,.0014,-.0815,.0854,.1669,.0434,.0421
